city,name,zip,address2,hours,state,location,address,services,type,id
Snellville,Snellville,30078,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,GA,"{u'lat': 33.882777, u'lon': -84.013058}",1679 Scenic Hwy N,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Car & GPS Installation Services', u'Electronics Recycling', u'Magnolia Home Theater', u'Samsung Experience Shop', u'Windows Store']",BigBox,776
Tupelo,Tupelo,38804,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,MS,"{u'lat': 34.299332, u'lon': -88.705612}",3040 N Gloster St,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,778
Surprise,Surprise,85374,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,AZ,"{u'lat': 33.636982, u'lon': -112.35039}",13711 W Bell Rd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,787
Colonial Heights,Colonial Heights,23834,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,VA,"{u'lat': 37.249237, u'lon': -77.387878}",723 Southpark Blvd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Car & GPS Installation Services', u'Electronics Recycling', u'Samsung Experience Shop']",BigBox,788
Valdosta,Valdosta,31601,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,GA,"{u'lat': 30.842571, u'lon': -83.321693}",1705 Norman Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Samsung Experience Shop', u'Car & GPS Installation Services']",BigBox,789
Springfield,Springfield,45504,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,OH,"{u'lat': 39.94521, u'lon': -83.836006}",1709 N Bechtle Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,790
Elizabethtown,Elizabethtown,42701,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,KY,"{u'lat': 37.739964, u'lon': -85.891365}",2050 N Dixie Hwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,791
Sioux City,Sioux City,51106,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 9-9; Sat: 9-9; Sun: 10-8,IA,"{u'lat': 42.445923, u'lon': -96.345161}",4730 Sergeant Rd,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,792
Dothan,Dothan,36303,Ste 100,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,AL,"{u'lat': 31.26812, u'lon': -85.44733}",4863 Montgomery Hwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,793
Findlay,Findlay,45840,Ste 100,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-7,OH,"{u'lat': 41.05275, u'lon': -83.618866}",1800 Tiffin Ave,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services', u'Samsung Experience Shop']",BigBox,795
West Des Moines,Jordan Creek,50266,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 9-9; Sat: 9-9; Sun: 10-8,IA,"{u'lat': 41.565117, u'lon': -93.800575}",6825 Mills Civic Pkwy,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services', u'Samsung Experience Shop', u'Windows Store']",BigBox,796
Soquel,Soquel,95073,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,CA,"{u'lat': 36.98585, u'lon': -121.96262}",2650 41st Ave,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'LG Experience ', u'Magnolia Home Theater', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services']",BigBox,797
Burlington,Burlington,98233,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,WA,"{u'lat': 48.450352, u'lon': -122.33651}",1851 Marketplace Dr,"[u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Electronics Recycling', u'Car & GPS Installation Services']",BigBox,798
Destin,Destin,32541,Unit 150,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 11-8,FL,"{u'lat': 30.387573, u'lon': -86.423141}",34940 Emerald Coast Pkwy,"[u'Windows Store', u'Geek Squad Services', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Samsung Experience', u'LG Experience ', u'Sony Experience ', u'Car & GPS Installation Services']",BigBox,799
Roseville,Roseville,55113,,Mon: 10-9; Tue: 10-9; Wed: 10-9; Thurs: 10-9; Fri: 10-9; Sat: 10-9; Sun: 10-8,MN,"{u'lat': 45.01651, u'lon': -93.168518}",1643 County Road B2,"[u'Windows Store', u'Geek Squad Solution Central', u'Geek Squad Services', u'Pacific Kitchen & Home', u'Best Buy Mobile', u'Best Buy For Business', u'Apple Shop', u'Electronics Recycling', u'Best Buy Marine Powered by Geek Squad', u'Samsung Experience', u'Camera Experience Shop ', u'LG Experience ', u'Magnolia Home Theater', u'Hablamos Espa\xf1ol', u'Car & GPS Installation Services']",BigBox,7
Richfield,Best Buy HQ,55423,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,MN,"{u'lat': 44.864729, u'lon': -93.306391}",7601 Penn Ave South,[],Express,8001
Atlanta,ATL - Hartsfield Jackson Atlanta International Airport,30320,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,GA,"{u'lat': 33.641229, u'lon': -84.444486}",6000 N. Terminal Pkwy,[],Express,8002
Dallas,DFW - Dallas/Fort Worth International Airport,75261,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 32.897449, u'lon': -97.040653}",3200 East Airfield Drive,[],Express,8003
Dallas,DFW - Dallas/Fort Worth International Airport,75261,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 32.897449, u'lon': -97.040653}",3200 East Airfield Drive,[],Express,8004
Minneapolis,MSP - Minneapolis Saint Paul International Airport,55111,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,MN,"{u'lat': 44.873221, u'lon': -93.227904}",7150 Humphrey Drive,[],Express,8005
Minneapolis,MSP - Minneapolis Saint Paul International Airport,55111,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,MN,"{u'lat': 44.873221, u'lon': -93.227904}",7150 Humphrey Drive,[],Express,8006
Boston,BOS - Boston Logan Airport,2128,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,MA,"{u'lat': 42.363275, u'lon': -71.025663}",1 Harborside Drive,[],Express,8007
Las Vegas,LAS - McCarran International Airport,89119,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,NV,"{u'lat': 36.08863, u'lon': -115.150408}",5757 Wayne Newton Blvd,[],Express,8008
Houston,IAH - Houston George Bush InterContinetal Airport,77032,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 29.986715, u'lon': -95.347925}",2800 North Terminal Rd.,[],Express,8009
Houston,IAH - Houston George Bush InterContinetal Airport,77032,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 29.986715, u'lon': -95.347925}",2800 North Terminal Rd.,[],Express,8010
San Francisco,SFO - San Francisco International Airport,94080,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,CA,"{u'lat': 37.646615, u'lon': -122.404346}",275 S Airport Blvd,[],Express,8011
Los Angeles,LAX - Los Angeles International Airport,90045,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,CA,"{u'lat': 33.94466, u'lon': -118.398227}",1 World Way,[],Express,8012
Los Angeles,LAX - Los Angeles International Airport,90045,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,CA,"{u'lat': 33.94466, u'lon': -118.398227}",1 World Way,[],Express,8013
Dallas,DFW - Dallas/Fort Worth International Airport,75261,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 32.897449, u'lon': -97.040653}",3200 East Airfield Drive,[],Express,8014
Las Vegas,LAS - McCarran International Airport,89119,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,NV,"{u'lat': 36.08863, u'lon': -115.150408}",5757 Wayne Newton Blvd,[],Express,8016
Las Vegas,LAS - McCarran International Airport,89119,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,NV,"{u'lat': 36.08863, u'lon': -115.150408}",5757 Wayne Newton Blvd,[],Express,8017
Las Vegas,LAS - McCarran International Airport,89119,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,NV,"{u'lat': 36.08863, u'lon': -115.150408}",5757 Wayne Newton Blvd,[],Express,8018
Dallas,DFW - Dallas/Fort Worth International Airport,75261,,Mon: 0-11:59; Tue: 0-11:59; Wed: 0-11:59; Thurs: 0-11:59; Fri: 0-11:59; Sat: 0-11:59; Sun: 0-11:59,TX,"{u'lat': 32.897449, u'lon': -97.040653}",3200 East Airfield Drive,[],Express,8019
