sku,category,name,url,price,upc,shipping,model,manufacturer,type,image,description
1005515,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]","American DJ - 12"" Glass Mirror Ball",http://www.bestbuy.com/site/american-dj-12-glass-mirror-ball/1005515.p?id=1218207307351&skuId=1005515&cmp=RMXCC,25.99,640282034128,8.49,M-1212,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005515_sa.jpg,From our expanded online assortment; glass material; portable
1005542,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Par 46 Can Kit - Black,http://www.bestbuy.com/site/american-dj-par-46-can-kit-black/1005542.p?id=1218207310574&skuId=1005542CC,44.99,640282010078,0,46 Black Combo,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005542_sa.jpg,From our expanded online assortment; 200W lamp; 4 color gel filters; clamp; safety cable
1005667,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Elation Stage Pack,http://www.bestbuy.com/site/american-dj-elation-stage-pack/1005667.p?id=1218207310858&skuId=1005667CC,499.99,640282051361,0,Stage Pak 1,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005667_sa.jpg,From our expanded online assortment; 16-channel DMX controller; 2 XLR cables; two 4-channel dimmers
1005694,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - DMX Mirror Ball Motor,http://www.bestbuy.com/site/american-dj-dmx-mirror-ball-motor/1005694.p?id=1218207313618&skuId=1005694CC,129.99,640282038324,0,MB DMX II,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005694_rc.jpg,"From our expanded online assortment; designed for use with most mirror balls up to 20""; 2 DMX channels; circuit breaker protection"
1005721,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]",American DJ - 5' CD Data Cable - Gray,http://www.bestbuy.com/site/american-dj-5-cd-data-cable-gray/1005721.p?id=1218207302785&skuId=1005721CC,13.99,640282015844,5.49,CDD5,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005721_sa.jpg,Compatible with most dual CD players with an 8-pin to 8-pin connection; replacement cable
1005758,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Dekker LED Effects Light - Black,http://www.bestbuy.com/site/american-dj-dekker-led-effects-light-black/1005758.p?id=1218207311754&skuId=1005758CC,169.99,640282000994,0,Dekker Led,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005758_sa.jpg,From our expanded online assortment; colored beams and 40 lenses; 3-button DMX LED menu; strobe effect; hanging bracket
1005794,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - Par 56 Can Kit - Black,http://www.bestbuy.com/site/american-dj-par-56-can-kit-black/1005794.p?id=1218207304604&skuId=1005794CC,49.99,640282010085,0,56 Black Combo,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005794_sa.jpg,From our expanded online assortment; 300W lamp; 4 color gel filters; clamp; safety cable
1005803,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]",American DJ - Stage Tape - Black,http://www.bestbuy.com/site/american-dj-stage-tape-black/1005803.p?id=1218207310997&skuId=1005803CC,15.99,640282052931,6.49,Tape 2b,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005803_sa.jpg,"From our expanded online assortment; ideal for a variety of DJ applications; 2"" wide; no heavy residue"
1005849,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]","American DJ - 4"" Gaffers Tape - Black",http://www.bestbuy.com/site/american-dj-4-gaffers-tape-black/1005849.p?id=1218207310042&skuId=1005849&cmp=RMXCC,34.99,640282022897,6.49,GT4B,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005849_sa.jpg,"From our expanded online assortment; 4"" wide; 135' of tape; cloth-like structure"
1005867,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'abcat0208024', u'name': u'Musical Instrument Accessories'}, {u'id': u'pcmcat152100050033', u'name': u'DJ Equipment Accessories'}]","American DJ - 2"" Gaffers Tape - White",http://www.bestbuy.com/site/american-dj-2-gaffers-tape-white/1005867.p?id=1218207306630&skuId=1005867&cmp=RMXCC,20.99,640282022880,5.99,GT2W,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005867_sa.jpg,"From our expanded online assortment; 2"" wide; 135' of tape; cloth-like structure"
1005885,"[{u'id': u'abcat0207000', u'name': u'Musical Instruments'}, {u'id': u'pcmcat152100050027', u'name': u'DJ & Lighting Equipment'}, {u'id': u'pcmcat152100050032', u'name': u'DJ Lighting & Effects'}]",American DJ - 15-1/2' Flash Rope,http://www.bestbuy.com/site/american-dj-15-1-2-flash-rope/1005885.p?id=1218207314033&skuId=1005885CC,79.99,640282021982,0,FLASH ROPE,American DJ,HardGood,http://img.bbystatic.com/BestBuy_US/images/products/1005/1005885_sa.jpg,From our expanded online assortment; 12 flash capsules; rain-resistant; built-in hanging ring
